,reviews,verfied,verified,Cleaned Reviews
0,"✅ Trip Verified |  BA First, it's not even the best business class in the sky. Cabin very long in the tooth. Service extremely inattentive and lackadaisical. Been waiting over an hour to be offered after dinner drinks or dessert. Nothing. Just awful value for money.",True,True,ba first even best business class sky cabin long tooth service extremely inattentive lackadaisical waiting hour offered dinner drink dessert nothing awful value money
1,"✅ Trip Verified |  The worst business class experience. Ground crew in Singapore were friendly I ended up switching lounges from BA to QF. The aircraft was late 1 hour. The cabin crew in business class were some of the most unfriendliest crew I have experienced. No one smiled not welcomed on board. No body was checking though out the flight if i wanted anything. I found my seat sat down and waited for someone to offer me a refreshment. Nobody came. A stewardess approached a passenger sitting infront of me if he'd been offer a refreshment he said no, i looked at her and made eye contact. she looked at me and walked straight past. Observing some of the other passenger the crew did not assist any of the ladies struggling to put their carry on luggage in the overhead. During the entire flight all the staff felt like they hated being on the flight and did not want to work. When disembarking walked past 4 crew not one was saying goodbye and thank you to any passengers. The food I had was average, I had a cocktail it was OK. The wine selection was below average.",True,True,worst business class experience ground crew singapore friendly ended switching lounge ba qf aircraft late hour cabin crew business class unfriendliest crew experienced one smiled welcomed board body checking though flight wanted anything found seat sat waited someone offer refreshment nobody came stewardess approached passenger sitting infront offer refreshment said looked made eye contact looked walked straight past observing passenger crew assist lady struggling put carry luggage overhead entire flight staff felt like hated flight want work disembarking walked past crew one saying goodbye thank passenger food average cocktail ok wine selection average
2,"Not Verified |  Quite possibly the worst business class I have ever flown in.  It barely rates as premium economy, and BA shouldn't be suggesting that they are offering premium seating on regional routes in Europe. On these routes, BA has crammed their seats so close together that the experience is like flying on a discount airline. Buyer beware, there is no point in upgrading to business class, other than ensuring the middle seat is empty and you and your bag can board first. The seats are extremely uncomfortable, and they can't really be reclined. There is no in flight entertainment; not even an app (which many discount airlines do use for regional flights). Once upon a time BA used to be a good airline, and maybe it still is for long-haul, but it's truly awful for short-haul (and is a five-hour flight actually short haul?). Might as well save some money and just book a cheaper airline. Staff are courteous and professional; the issue is the quality of the product for the price.",False,False,verified quite possibly worst business class ever flown barely rate premium economy ba suggesting offering premium seating regional route europe route ba crammed seat close together experience like flying discount airline buyer beware point upgrading business class ensuring middle seat empty bag board first seat extremely uncomfortable really reclined flight entertainment even app many discount airline use regional flight upon time ba used good airline maybe still long haul truly awful short haul five hour flight actually short haul might well save money book cheaper airline staff courteous professional issue quality product price
3,"Not Verified |  I will never be flying with BA again. This is my first and last. I was flying from Singapore, transit at Sydney and then to Auckland, my destination. Firstly, there was an hour delay for the flight from Singapore. That was fine, I received an email in advance and could just head over slightly later. I confirmed with the staff at Singapore that I'll make it just fine for my connecting flight since it was just an hour delay vs a few hours in transit. I arrived in Sydney, the flight was fine and the BA staff were decent. I knew that it was close to my boarding time and so I rushed through the checks to get to my international transit flight.  We were ushered downstairs to catch the shuttle bus. After queuing for such a long time, they scanned my boarding pass and said that I was taken off this flight (I was not notified prior) and had to find the transfer desk and request for a re-book of my connecting flight. I rushed over as quickly as I could to waste no time. The lady who was a Qantas rep told me that I needed to speak to a Menzies rep about this matter. She gave me instructions to find a Menzies rep. I rushed to the boarding gate of an Asiana flight to speak to a Menzies rep but they were busy boarding the passengers. So, I waited by the side for all the passengers to board, only to be told to head to another transfer desk to re-book my connecting flight. There were other disgruntled passengers when I arrived. The next available flight was at night. This meant that I arrived at 8+am at Sydney and had to wait for close to 12 hours to get on the next flight. As I did not have an Aussie visa (did not need one as per my booked flights), I was not granted a day stay and was given a meal voucher and was sent off to hunt for a good place to rest/sleep/nap. Many cafes and restaurants rejected my meal voucher by the way but I finally got food. Ultimately, my re-booked flight was delayed again by another 30mins. The stress, anxiety, fatigue and hassle caused by BA's poor re-booking system. I've filed a formal complaint and request for compensation and we're waiting to hear back. ",False,False,verified never flying ba first last flying singapore transit sydney auckland destination firstly hour delay flight singapore fine received email advance could head slightly later confirmed staff singapore make fine connecting flight since hour delay v hour transit arrived sydney flight fine ba staff decent knew close boarding time rushed check get international transit flight ushered downstairs catch shuttle bus queuing long time scanned boarding pas said taken flight notified prior find transfer desk request book connecting flight rushed quickly could waste time lady qantas rep told needed speak menzies rep matter gave instruction find menzies rep rushed boarding gate asiana flight speak menzies rep busy boarding passenger waited side passenger board told head another transfer desk book connecting flight disgruntled passenger arrived next available flight night meant arrived sydney wait close hour get next flight aussie visa need one per booked flight granted day stay given meal voucher sent hunt good place rest sleep nap many cafe restaurant rejected meal voucher way finally got food ultimately booked flight delayed another min stress anxiety fatigue hassle caused ba poor booking system filed formal complaint request compensation waiting hear back
4,"✅ Trip Verified |  On the my trip to Mexico City, I had the opportunity to experience BA long-haul business class for the first time and it was extremely underwhelming. First of all, boarding to our flight to Mexico city was done with buses. Every inch of the bus was filled with passengers and we couldn't even breath. The Club World experience is not personalised and it doesn't make you feel special. The flight crew were giving the welcome drinks as if giving free food at a food bank and I wasn't offered a non-alcoholic choice due to sitting on the last row of business class cabin. The same rude serving attitude happened when the flight attendant was serving ice-cream mid-flight on the way out. He literally threw the ice cream to my head as I was in the middle seat that is covered from all sides that makes flight attendants hard to reach.  The most striking issue with the cabin is the state that the seats are in. They were their old style yin-yang seats and they looked pretty old, with no storage space, and most functionalities are working with a struggle. My entertainment screen was not working well and it was quite unstable. When the flight attendants were playing the security on my way out, neither of the seats in my area playing the safety video and the flight attendants had to re-demonstrate the security instructions manually. On the way in, the crew opened my screen for security demonstration but it kept closing in. When I asked if there is a way to keep the screen open, the flight attendant joked saying ""I will tell the pilot to fly with an angle so that the screen is pulled down and it will stay open"".  I found this attitude unacceptable. The screens were old and bad quality.  I was quite underwhelmed by the food provided on board. They looked great on menu card but were quite bad when they are served.I would not recommend BA business class product based on this experience.",True,True,trip mexico city opportunity experience ba long haul business class first time extremely underwhelming first boarding flight mexico city done bus every inch bus filled passenger even breath club world experience personalised make feel special flight crew giving welcome drink giving free food food bank offered non alcoholic choice due sitting last row business class cabin rude serving attitude happened flight attendant serving ice cream mid flight way literally threw ice cream head middle seat covered side make flight attendant hard reach striking issue cabin state seat old style yin yang seat looked pretty old storage space functionality working struggle entertainment screen working well quite unstable flight attendant playing security way neither seat area playing safety video flight attendant demonstrate security instruction manually way crew opened screen security demonstration kept closing asked way keep screen open flight attendant joked saying tell pilot fly angle screen pulled stay open found attitude unacceptable screen old bad quality quite underwhelmed food provided board looked great menu card quite bad served would recommend ba business class product based experience
5,"✅ Trip Verified |  I upgraded at check in to Club Europe seat 1D and had an excellent experience with BA. The check-in at the airport was very quick and smooth, with friendly staff. Once through the fast track I headed for the Galleries lounge at LHR T3 and this exceeded my expectations. The food was really good and I had a superb view out over the runway. The flight was great. Some people have remarked that legroom isn’t good even in Club Europe but I found it fine for a 2 hour flight. ‘Afternoon tea’ was delicious. Cabin crew were excellent. I was out the airport in about 10 minutes from landing. BA did a superb job on this flight.",True,True,upgraded check club europe seat excellent experience ba check airport quick smooth friendly staff fast track headed gallery lounge lhr exceeded expectation food really good superb view runway flight great people remarked legroom good even club europe found fine hour flight afternoon tea delicious cabin crew excellent airport minute landing ba superb job flight
6,"✅ Trip Verified |  I bought a return trip with BA, through Webjet Australia last year. I would fly from Sydney to Porto middle of June with no problem. But I had to return earlier to Australia. So I requested a change in the dates from March to January. I should point out that BA partners changed the details of the return flight many times. That is not a problem. The problem is that although I was flexible with the dates they refused to fly me back. I had to buy a ticket from another company to travel to Australia. Later I asked for a change of the return date to January of next year. Again that was turned down. I will keep in mind this negative experience with BA when booking future trips.",True,True,bought return trip ba webjet australia last year would fly sydney porto middle june problem return earlier australia requested change date march january point ba partner changed detail return flight many time problem problem although flexible date refused fly back buy ticket another company travel australia later asked change return date january next year turned keep mind negative experience ba booking future trip
7,"✅ Trip Verified |  Poor from start to finish. Six months after purchasing our tickets I added an extra bag at the exorbitant cost of £130, but this transaction failed to make the system. I rang BA customer services only to be cut off without a reply. At LHR a manager had to be summoned to verify my printed receipt of payment. I was assured there would be no problem on the return trip. Wrong. Same experience at LIS! On board, an hour delay because of late discovery of technical fault. Old plane, with an uncomfortable seat with minimal legroom. Soggy cookie and small bottle of water offered free. Return trip, even more uncomfortable seat, made worse by the extra recline the passenger in front of me enjoyed due to his knackered seat. Once upon a time BA stood for something. No longer. Next time it is TAP, with their much newer planes.",True,True,poor start finish six month purchasing ticket added extra bag exorbitant cost transaction failed make system rang ba customer service cut without reply lhr manager summoned verify printed receipt payment assured would problem return trip wrong experience li board hour delay late discovery technical fault old plane uncomfortable seat minimal legroom soggy cookie small bottle water offered free return trip even uncomfortable seat made worse extra recline passenger front enjoyed due knackered seat upon time ba stood something longer next time tap much newer plane
8,"✅ Trip Verified | Communication and customer service non existent, they make me pay for seat on my return flight from Madrid to London, where didn’t should be as my ticket was premium economy. On the time of check in just was able do BA-MAD but to not MAD-LHR just in Madrid they issued boarding pass changed my seat from 5F to 19F worst seat ever, explained rudeness on Madrid - plane changed. That section is Business and you are premium only, we send you to the back,, no apologies, no answer complaints, low cost airlines treat you better, refund of seat received but zero apologies.",True,True,communication customer service non existent make pay seat return flight madrid london ticket premium economy time check able ba mad mad lhr madrid issued boarding pas changed seat f f worst seat ever explained rudeness madrid plane changed section business premium send back apology answer complaint low cost airline treat better refund seat received zero apology
9,✅ Trip Verified |  That was supposed to be my flight but it was cancelled 12 hours before takeoff. After nearly 4 months BA finally responded to my compensation claim confirming I was due statutory compensation. Another 2 months later and still not received it despite chasing. According to BA my bank must have lost the payment so now apparently my problem again. From my experience a once great airline now with customer service no better than the worst of the low cost carriers.,True,True,supposed flight cancelled hour takeoff nearly month ba finally responded compensation claim confirming due statutory compensation another month later still received despite chasing according ba bank must lost payment apparently problem experience great airline customer service better worst low cost carrier
